cmd_num,delay,ptu_ebay_cmd,ptu_d48_cmd
1066,111.4,ps-29,
1067,111.5,ps-31,
1068,111.6,ps-33,
1069,111.7,ps-35,
1070,111.8,ps-37,
1071,111.9,ps-39,
1072,112.0,ps-41,
1073,112.1,ps-43,
1074,112.2,ps-44,
1075,112.3,ps-46,
1076,112.4,ps-48,
1077,112.5,ps-50,
1078,112.6,ps-52,
1079,112.7,ps-54,
1080,112.8,ps-55,
1081,112.9,ps-57,
1082,113.0,ps-59,
1083,113.1,ps-60,
1084,113.2,ps-62,
1085,113.3,ps-64,
1086,113.4,ps-65,
1087,113.5,ps-67,
1088,113.6,ps-68,
1089,113.7,ps-70,
1090,113.8,ps-71,
1091,113.9,ps-73,
1092,114.0,ps-74,
1093,114.1,ps-76,
1094,114.2,ps-77,
1095,114.3,ps-78,
1096,114.4,ps-80,
1097,114.5,ps-81,
1098,114.6,ps-82,
1099,114.7,ps-83,
1100,114.8,ps-84,
1101,114.9,ps-86,
1102,115.0,ps-87,
1103,115.1,ps-88,
1104,115.2,ps-89,
1105,115.3,ps-90,
1106,115.4,ps-90,
1107,115.5,ps-91,
1108,115.6,ps-92,
1109,115.7,ps-93,
1110,115.8,ps-94,
1111,115.9,ps-94,
1112,116.0,ps-95,
1113,116.1,ps-96,
1114,116.2,ps-96,
1115,116.3,ps-97,
1116,116.4,ps-97,
1117,116.5,ps-98,
1118,116.6,ps-98,
1119,116.7,ps-99,
1120,116.8,ps-99,
1121,116.9,ps-99,
1122,117.0,ps-99,
1123,117.1,ps-100,
1124,117.2,ps-100,
1125,117.3,ps-100,
1126,117.4,ps-100,
1127,117.5,ps-100,
1128,117.6,ps-100,
1129,117.7,ps-100,
1130,117.8,ps-100,
1131,117.9,ps-100,
1132,118.0,ps-99,
1133,118.1,ps-99,
1134,118.2,ps-99,
1135,118.3,ps-99,
1136,118.4,ps-98,
1137,118.5,ps-98,
1138,118.6,ps-97,
1139,118.7,ps-97,
1140,118.8,ps-96,
1141,118.9,ps-96,
1142,119.0,ps-95,
1143,119.1,ps-94,
1144,119.2,ps-94,
1145,119.3,ps-93,
1146,119.4,ps-92,
1147,119.5,ps-91,
1148,119.6,ps-90,
1149,119.7,ps-90,
1150,119.8,ps-89,
1151,119.9,ps-88,
1152,120.0,ps-87,
1153,120.1,ps-86,
1154,120.2,ps-84,
1155,120.3,ps-83,
1156,120.4,ps-82,
1157,120.5,ps-81,
1158,120.6,ps-80,
1159,120.7,ps-78,
1160,120.8,ps-77,
1161,120.9,ps-76,
1162,121.0,ps-74,
1163,121.1,ps-73,
1164,121.2,ps-71,
1165,121.3,ps-70,
