delay,ptu_ebay_cmd,ptu_d48_cmd
118.0,ps-36,
118.1,ps-35,
118.2,ps-35,
118.3,ps-34,
118.4,ps-34,
118.5,ps-33,
118.6,ps-33,
118.7,ps-32,
118.8,ps-32,
118.9,ps-31,
119.0,ps-31,
119.1,ps-30,
119.2,ps-30,
119.3,ps-29,
119.4,ps-29,
119.5,ps-28,
119.6,ps-28,
119.7,ps-27,
119.8,ps-27,
119.9,ps-26,
120.0,ps-26,
120.1,ps-25,
120.2,ps-25,
120.3,ps-24,
120.4,ps-24,
120.5,ps-23,
120.6,ps-23,
120.7,ps-22,
120.8,ps-22,
120.9,ps-21,
121.0,ps-21,
121.1,ps-20,
121.2,ps-20,
121.3,ps-19,
121.4,ps-19,
121.5,ps-18,
121.6,ps-18,
121.7,ps-17,
121.8,ps-17,
121.9,ps-16,
122.0,ps-16,
122.1,ps-15,
122.2,ps-15,
122.3,ps-14,
122.4,ps-14,
122.5,ps-13,
122.6,ps-13,
122.7,ps-12,
122.8,ps-11,
122.9,ps-11,
123.0,ps-10,
123.1,ps-10,
123.2,ps-9,
123.3,ps-9,
123.4,ps-8,
123.5,ps-8,
123.6,ps-7,
123.7,ps-7,
123.8,ps-6,
123.9,ps-6,
124.0,ps-5,
124.1,ps-5,
124.2,ps-4,
124.3,ps-4,
124.4,ps-3,
124.5,ps-3,
124.6,ps-2,
124.7,ps-2,
124.8,ps-1,
124.9,ps-1,
126.0,ps0,sd
